Prefix,Question,Perturbed,Expected_answer
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Are you likely to find a crucifix in Karachi?,"Considering yourself, are you likely to find a crucifix in Karachi?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Could the main character of ""Alice's Adventures in Wonderland"" join a Masonic Lodge?","Considering the main character of ""Alice's Adventures in Wonderland"", can she join a Masonic Lodge?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Are Sable's a good choice of Mustelidae to weigh down a scale?,"Considering Sable's, is it a good choice of Mustelidae to weigh down a scale?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Romeo and Juliet an unusual title to teach high schoolers?,"Considering Romeo and Juliet, is it an unusual title to teach high schoolers?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Do Windows or Android smartphones run newer versions of Linux?,"Considering Windows or Android smartphones, do they run newer versions of Linux?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did the Eastern Orthodox Church and the Byzantine Empire ever use the same calendar?,"Considering the Eastern Orthodox Church and the Byzantine Empire, did they ever use the same calendar?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,"Considering the Stanley Cup Finals and Rock in Rio, would it be difficult to host them there?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,"Considering Mickey Mouse, is it hypothetically unlikely for him to make a purchase at Zazzle?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be common to find a penguin in Miami?,"Considering penguins, would it be common to find one in Miami?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did Immanuel Kant ever meet the 14th president of the United States?,"Considering Immanuel Kant, did he ever meet the 14th president of the United States?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is the current Chief Justice of the United States forbidden from buying alcohol?,"Considering the current Chief Justice of the United States, is he forbidden from buying alcohol?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would most school children in New York be wearing jackets on groundhog day?,"Considering most school children in New York, would they be wearing jackets on Groundhog Day?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Could modern Brazilian Navy have hypothetically turned the tide in Battle of Actium?,"Considering the modern Brazilian Navy, could they have hypothetically turned the tide in the Battle of Actium?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did US President during Spanish-American War suffer similar demise to Abraham Lincoln?,"Considering the US President during the Spanish-American War, did he suffer a similar demise to Abraham Lincoln?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it safe to use Ammonia with Clorox?,"Considering Ammonia and Clorox, is it safe to use them together?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can the Communist Party of the Soviet Union get a perfect all kill?,"Considering the Communist Party of the Soviet Union, can it get a perfect all-kill?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can Centurylink max internet plan upload 1000GB in a fortnight?,"Considering Centurylink’s max internet plan, can it upload 1000GB in a fortnight?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did Solomon make up bigger percentage of Islamic prophets than Kings of Judah?,"Considering Solomon, did he make up a bigger percentage of Islamic prophets than Kings of Judah?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would East India Company prefer China's modern trade?,"Considering the East India Company, would it prefer China's modern trade?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Will a celibate cleric likely suffer a stoning in Somalia?,"Considering a celibate cleric, will he likely suffer a stoning in Somalia?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Could one Amazon share ever buy twenty year Netflix subscription?,"Considering one Amazon share, could it ever buy a twenty-year Netflix subscription?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would an adherent of Zoroastrianism consult the Quran for religious guidance?,"Considering an adherent of Zoroastrianism, would they consult the Quran for religious guidance?",No
