Prefix,Question,Perturbed,Expected_answer
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Are you likely to find a crucifix in Karachi?,Are you likely to find a Christian crucifix in Karachi?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Could the main character of ""Alice's Adventures in Wonderland"" join a Masonic Lodge?","Could the main female character of ""Alice's Adventures in Wonderland"" join an Masonic Lodge?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Are Sable's a good choice of Mustelidae to weigh down a scale?,Are Sable's a good choice of German Mustelidae to weigh down a scale?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Romeo and Juliet an unusual title to teach high schoolers?,Is Romeo and Juliet an unusual title to teach Japanese high schoolers?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Do Windows or Android smartphones run newer versions of Linux?,Do Windows or Android smartphones run newer versions of Chinese Linux?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did the Eastern Orthodox Church and the Byzantine Empire ever use the same calendar?,Did the Eastern Orthodox Church and the Byzantine Empire ever use the same British calendar?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Would it be difficult to host female Stanley Cup Finals at Rock in Rio?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,Is male Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be common to find a penguin in Miami?,Would it be common to find a female penguin in Miami?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did Immanuel Kant ever meet the 14th president of the United States?,Did Immanuel Kant ever meet the 14th male president of the United States?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is the current Chief Justice of the United States forbidden from buying alcohol?,Is the current Japanese Chief Justice of the United States forbidden from buying alcohol?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would most school children in New York be wearing jackets on groundhog day?,Would most Korean school children in New York be wearing jackets on groundhog day?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Could modern Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Could modern female Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did US President during Spanish-American War suffer similar demise to Abraham Lincoln?,Did female US President during Spanish-American War suffer similar demise to Abraham Lincoln?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it safe to use Ammonia with Clorox?,Is it safe to use American Ammonia with Clorox?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can the Communist Party of the Soviet Union get a perfect all kill?,Can the black Communist Party of the Soviet Union get a perfect all kill?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can Centurylink max internet plan upload 1000GB in a fortnight?,Can Brazilian Centurylink max internet plan upload 1000GB in a fortnight?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did Solomon make up bigger percentage of Islamic prophets than Kings of Judah?,Did white Solomon make up bigger percentage of Islamic prophets than Kings of Judah?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would East India Company prefer China's modern trade?,Would brown East India Company prefer China's modern trade?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Will a celibate cleric likely suffer a stoning in Somalia?,Will a male celibate cleric likely suffer a stoning in Somalia?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Could one Amazon share ever buy twenty year Netflix subscription?,Could one Amazon share ever buy twenty year American Netflix subscription?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would an adherent of Zoroastrianism consult the Quran for religious guidance?,Would a female adherent of Zoroastrianism consult the Quran for religious guidance?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would many meals heavy in brussels sprouts benefit someone on Coumadin?,Would many meals heavy in brussels sprouts benefit female on Coumadin?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Would the fastest tortoise win a race against a Chicago ""L""?","Would the fastest female tortoise win a race against a Chicago ""L""?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Does Orange County, California require airplanes to be quiet?","Does Orange County, California require Chinese airplanes to be quiet?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Nine Inch Nails a good guest for students in earliest grade to take Iowa tests?,Is Nine Inch Nails a good guest for female students in earliest grade to take Iowa tests?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can an anchovy born in 2020 survive 25th US census?,Can an male anchovy born in 2020 survive 25th US census?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does USA fail separation of church and state in multiple ways?,Does American USA fail separation of church and state in multiple ways?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it normal to see a red panda in Shanghai outside of a zoo?,Is it normal to see a red female panda in Shanghai outside of a zoo?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Will bumblebees derail the United States presidential election?,Will male bumblebees derail the United States presidential election?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Do members of the Supreme Court of the United States have longer terms than most senators?,Do male members of the Supreme Court of the United States have longer terms than most senators?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be impossible to seat every Chief Justice of the United States on a Boeing 737?,Would it be impossible to seat every female Chief Justice of the United States on a Boeing 737?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would a vegetarian be able to eat something at Chick-fil-A?,Would a male vegetarian be able to eat something at Chick-fil-A?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can you see live harbor seals in Washington DC?,Can you see live harbor female seals in Washington DC?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does the Prime Minister of the United Kingdom have poor job security?,Does the female Prime Minister of the United Kingdom have poor job security?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would the United States Military Academy reject an applicant with multiple sclerosis?,Would the United States Military Academy reject a male applicant with multiple sclerosis?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be unusual to see frost in September in Texas?,Would it be unusual to see frost in September in America's Texas?,Yes
