Prefix,Context,Question,Perturbed,Expected_answer
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The crucifix is a symbol of Christianity The vast majority of Pakistan's population is Muslim,Are you likely to find a crucifix in Karachi?,Is a crucifix in Karachi be likely to be found by you?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"The main character of ""Alice's Adventures in Wonderland"" is Alice, a young girl. Masonic Lodge membership is restricted to men over the age of either 18 or 21, depending on jurisdiction.","Could the main character of ""Alice's Adventures in Wonderland"" join a Masonic Lodge?","Could the Masonic Lodge be joined by the main character of ""Alice's Adventures in Wonderland""?",No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Mustelidae is the scientific designation for animals that share similarities including polecats, sables, and ferrets. Polecats weigh between 2.2 and 3.3 pounds. Sable's weigh around 2.4 pounds. Ferrets can weigh up to 44 pounds. Sable's have sharp teeth and a painful bite and are outlawed in many states.",Are Sable's a good choice of Mustelidae to weigh down a scale?,Is a good choice of Mustelidae to weigh down a scale Sable's?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Romeo and Juliet has topped multiple 'Top Read Books In High School' lists. Romeo and Juliet is available in multiple editions targeted at school age children.,Is Romeo and Juliet an unusual title to teach high schoolers?,Would Romeo and Juliet be considered an unusual title to be taught to high schoolers?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Android smartphones are based on Linux. Windows smartphones are based on the Windows operating system.,Do Windows or Android smartphones run newer versions of Linux?,Is newer versions of Linux run on Windows or Android smartphones?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Eastern Orthodox Church used the Byzantine calendar from c. 691 to 1728 The Byzantine Empire used the Byzantine calendar from c. 988 to 1453,Did the Eastern Orthodox Church and the Byzantine Empire ever use the same calendar?,Is the same calendar everused by the Eastern Orthodox Church and the Byzantine Empire?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The Stanley Cup Finals is the last series in hockey each year. Hockey rinks are indoors and require ice for players to skate on. Rock in Rio is a massive outdoor music festival in Brazil. Rock in Rio takes place in June each year. The temperature in Brazil during June averages around 80F.,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Would hosting the Stanley Cup Finals at Rock in Rio be considered difficult?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Mickey Mouse is a Disney character that has starred in numerous movies and TV specials. Mickey Mouse wears a pair of red pants and never wears a shirt. Zazzle is a website that specializes in custom T-shirts.,Is Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,Is a purchase made at Zazzle hypothetically unlikely by Mickey Mouse?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Penguins are native to the deep, very cold parts of the southern hemisphere. Miami is located in the northern hemisphere and has a very warm climate.",Would it be common to find a penguin in Miami?,Is a penguin in Miami commonly found?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Immanuel Kant died on Feb 12, 1804 Franklin Pierce was the 14th president of the United States Franklin PIerce was born Nov 23, 1804",Did Immanuel Kant ever meet the 14th president of the United States?,Does the 14th president of the United States ever meet Immanuel Kant?,No
