Original_Question_Index,original_prompt,perturb_prompt,perturb_type,Perturbation,expected_result
0,"Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: Can cucumbers grow without insects?
A:","Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: aCn cucumbers grow without insects?
A:",robust,Perturb 0-1,Yes
0,"Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: Can cucumbers grow without insects?
A:","Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: Can uccumbers grow without insects?
A:",robust,Perturb 0-2,Yes
0,"Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: Can cucumbers grow without insects?
A:","Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: Can cucumbers gorw without insects?
A:",robust,Perturb 0-3,Yes
0,"Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: Can cucumbers grow without insects?
A:","Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: Can cucumbers grow withuot insects?
A:",robust,Perturb 0-4,Yes
0,"Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: Can cucumbers grow without insects?
A:","Q: Is growing seedless cucumber good for a gardener with entomophobia?
A: Yes

Q: Can cucumbers grow without nisects?
A:",robust,Perturb 0-5,Yes
1,"Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels to function?
A:","Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: sI sunlight necessary for solar panels to function?
A:",robust,Perturb 1-1,Yes
1,"Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels to function?
A:","Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunligth necessary for solar panels to function?
A:",robust,Perturb 1-2,Yes
1,"Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels to function?
A:","Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necsesary for solar panels to function?
A:",robust,Perturb 1-3,Yes
1,"Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels to function?
A:","Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary fro solar panels to function?
A:",robust,Perturb 1-4,Yes
1,"Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels to function?
A:","Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for soalr panels to function?
A:",robust,Perturb 1-5,Yes
1,"Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels to function?
A:","Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panesl to function?
A:",robust,Perturb 1-6,Yes
1,"Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels to function?
A:","Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels ot function?
A:",robust,Perturb 1-7,Yes
1,"Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels to function?
A:","Q: Can solar panels generate electricity on cloudy days?
A: Yes

Q: Is sunlight necessary for solar panels to functoin?
A:",robust,Perturb 1-8,Yes
2,"Q: Can regular exercise improve mental health?
A: Yes

Q: Does exercise help with anxiety?
A:","Q: Can regular exercise improve mental health?
A: Yes

Q: Dose exercise help with anxiety?
A:",robust,Perturb 2-1,Yes
2,"Q: Can regular exercise improve mental health?
A: Yes

Q: Does exercise help with anxiety?
A:","Q: Can regular exercise improve mental health?
A: Yes

Q: Does exrecise help with anxiety?
A:",robust,Perturb 2-2,Yes
2,"Q: Can regular exercise improve mental health?
A: Yes

Q: Does exercise help with anxiety?
A:","Q: Can regular exercise improve mental health?
A: Yes

Q: Does exercise hepl with anxiety?
A:",robust,Perturb 2-3,Yes
2,"Q: Can regular exercise improve mental health?
A: Yes

Q: Does exercise help with anxiety?
A:","Q: Can regular exercise improve mental health?
A: Yes

Q: Does exercise help wtih anxiety?
A:",robust,Perturb 2-4,Yes
2,"Q: Can regular exercise improve mental health?
A: Yes

Q: Does exercise help with anxiety?
A:","Q: Can regular exercise improve mental health?
A: Yes

Q: Does exercise help with anxieyt?
A:",robust,Perturb 2-5,Yes
