Question,sentiment
I really enjoyed the movie,Positive
The food was terrible,Negative
I'm not sure how I feel about this,Neutral
The service was excellent,Positive
I had a bad experience,Negative
This is a great product,Positive
I wouldn't recommend this,Negative
The price is a bit high,Neutral
The weather is perfect today,Positive
The traffic is horrible,Negative
I'm feeling Neutral about this,Neutral
The concert was amazing,Positive
The customer service was terrible,Negative
This book is a masterpiece,Positive
I regret buying this product,Negative
The view from here is breathtaking,Positive
I don't know what to think about this,Neutral
The internet speed is slow,Negative
The museum was fascinating,Positive
The noise level is too high,Negative
I don't have an opinion on this,Neutral
The hotel room was spacious and clean,Positive
The service at this restaurant was awful,Negative
This software is very user-friendly,Positive
The quality of the product is poor,Negative
I don't really care about this,Neutral
The beach was crowded,Negative
This is an excellent company to work for,Positive
The movie was a waste of time,Negative
I'm undecided about this,Neutral
The game was a complete disaster,Negative
The scenery here is beautiful,Positive
The speaker was very engaging,Positive
I had a great time,Positive
This product is overpriced,Negative
I'm indifferent to this,Neutral
The performance was outstanding,Positive
The car broke down on the highway,Negative
I don't have strong feelings about this,Neutral
The food was delicious,Positive
The service at this hotel was terrible,Negative
This phone is amazing,Positive
I'm not impressed with this,Negative
I have mixed feelings about this,Neutral
The weather is terrible today,Negative
The book was a disappointment,Negative
I don't care one way or the other,Neutral
The hike was exhausting,Negative
This is a fantastic product,Positive
I don't know what to make of this,Neutral
The customer service was great,Positive
The noise level is tolerable,Neutral
The hotel room was dirty and cramped,Negative
I'm very pleased with this,Positive
The traffic is light,Positive
This movie was boring,Negative
I have no opinion on this,Neutral
The beach was beautiful,Positive
The food was average,Neutral
I regret wasting my money on this product,Negative
The view from here is average,Neutral
The museum was boring,Negative
I don't really care about this topic,Neutral
The hotel was noisy at night,Negative
This software is difficult to use,Negative
The game was exciting,Positive
The speaker was boring,Negative
I didn't enjoy this at all,Negative
The car is in great condition,Positive
I'm not sure what to think about this,Neutral
The service at this restaurant was excellent,Positive
The scenery here is average,Neutral
This company is terrible,Negative
The movie was great,Positive
I'm not satisfied with this product,Negative
I have no strong feelings about this,Neutral
The weather is wonderful today,Positive
The book was amazing,Positive
I don't have a preference,Neutral
The hike was refreshing,Positive
This is a terrible product,Negative
The performance was mediocre,Neutral
I'm not sure if I like this,Neutral
The food was not very good,Negative
The service at this hotel was great,Positive
This phone is not very user-friendly,Negative
I'm impressed with this,Positive
The traffic is moderate,Neutral
This movie was entertaining,Positive
I have no interest in this,Neutral
The beach was peaceful,Positive
The food was outstanding,Positive
I regret not buying this product,Positive
The view from here is stunning,Positive
The museum was informative,Positive
I don't have strong feelings either way,Neutral
The hotel was comfortable,Positive
This software is very complicated,Negative
The game was challenging,Positive
The speaker was inspiring,Positive
I enjoyed this very much,Positive
The car is not reliable,Negative
I'm ambivalent about this,Neutral
The service at this restaurant was mediocre,Neutral
The scenery here is breathtaking,Positive
This company is excellent,Positive
The movie was okay,Neutral
I'm not happy with this product,Negative
I don't really have an opinion on this,Neutral
The weather is nice today,Positive
The book was okay,Neutral
I don't care about this,Neutral
The hike was invigorating,Positive
This is a terrible company,Negative
The performance was below average,Negative
I'm not sure if I want to pursue this,Neutral
The food was not bad,Neutral
The service at this hotel was mediocre,Neutral
This phone is just okay,Neutral
The traffic is heavy,Negative
This movie was disappointing,Negative
I'm not interested in this,Neutral
The beach was dirty,Negative
The food was terrible and overpriced,Negative
I regret buying this,Negative
The view from here is unremarkable,Neutral
The museum was dull,Negative
I have no strong opinion on this,Neutral
The hotel was noisy during the day,Neutral
This software is frustrating to use,Negative
The game was boring,Negative
The speaker was uninteresting,Negative
I did not enjoy this,Negative
The car is expensive,Negative
I'm unsure about this,Neutral
The service at this restaurant was poor,Negative
The scenery here is unimpressive,Neutral
This company is awful,Negative
The movie was terrible,Negative
I'm very unhappy with this product,Negative
